Code,Title
https://www.netflix.com/title/81173115,"""Bennett's War"""
https://www.netflix.com/title/70138789,"""Battle: Los Angeles"""
https://www.netflix.com/title/80198592,"""Armed Response"""
https://www.netflix.com/title/70042678,"""Underworld: Evolution"""
https://www.netflix.com/title/80185765,"""The Foreigner"""
https://www.netflix.com/title/80220009,"""Coffee & Kareem"",""description"":""An inept Detroit cop must team up with his girlfriend's foul-mouthed young son when their first crack at bonding time uncovers a criminal conspiracy."",""genre"":""Comedies"",""image"":""https://occ-0-1009-2218.1.nflxso.net/dnm/api/v6/6AYY37jfdO6hpXcMjf9Yu5cnmO0/AAAABeNfTtxposFFfbYuxYUP773cZaDuy6smSjM9HmQnGFT_nu0f8nI9rn_p_o5sZqZLkzUrjFNop6bEiAc1HuiLmPInuHAu.jpg?r=423"",""dateCreated"":""2020-4-3"",""trailer"":[{""@type"":""VideoObject"",""name"":""Trailer: Coffee & Kareem"""
https://www.netflix.com/title/80991404,"""Goosebumps 2: Haunted Halloween"""
https://www.netflix.com/title/80182951,"""American Assassin"""
https://www.netflix.com/title/80119234,"""Bright"",""description"":""In an LA rife with interspecies tensions, a human cop and his orc partner stumble on a powerful object and become embroiled in a prophesied turf war."",""genre"":""Action Sci-Fi & Fantasy"",""image"":""https://occ-0-1009-2218.1.nflxso.net/dnm/api/v6/6AYY37jfdO6hpXcMjf9Yu5cnmO0/AAAABSKYFZNRkTl_yBm27wrNiri7sDgG_NG9ekVgfctg1128vxPZbree6x5qhPAnwBe8wrH24929uL7qMMANgsYwvXOFN1S0.jpg?r=d99"",""dateCreated"":""2017-12-22"",""trailer"":[{""@type"":""VideoObject"",""name"":""Bright (Trailer)"",""description"":""A turf war in the seething streets of LA takes on mythic proportions as two cops stumble on an object with terrifying powers. Starring Will Smith."",""thumbnailUrl"":""https://occ-0-1009-2218.1.nflxso.net/dnm/api/v6/9pS1daC2n6UGc3dUogvWIPMR_OU/AAAABQ-XWv7SakDE5vhid3blB_3YVJVGUskZFFHyRXPrRsvAmt41060x8Y08evT2S4z80Gb5CWijjXQM3odl6Uh6YbciSgVDeH9p0WB9q_fDdTl8cAbj.jpg?r=f19"",""duration"":""PT2M58S"",""contentUrl"":""https://occ-0-1009-2218.1.nflxso.net/so/soa2/186/1860486186.mp4?v=1"",""uploadDate"":""2017-08-04T17:00:00.000Z""},{""@type"":""VideoObject"",""name"":""Bright (Trailer 2)"",""description"":""Teaming up with the LAPD's first orc isn't easy. But saving a magic wand from a swarm of evil forces will push both these partners to their limit."",""thumbnailUrl"":""https://occ-0-1009-2218.1.nflxso.net/dnm/api/v6/9pS1daC2n6UGc3dUogvWIPMR_OU/AAAABSlLEFxyjwg-euLtaytiZJGAZ34k7Gtms6brcz2bPTr1fMjJgAHGOE0phZyErYbavwSgs3sQgbY6Zl_3AvzTHgGs1FYGB1Q7FnqzPq93FvvOhCF5.jpg?r=644"",""duration"":""PT2M25S"",""contentUrl"":""https://occ-0-1009-2218.1.nflxso.net/so/soa3/516/631203516.mp4?v=1"",""uploadDate"":""2017-10-25T13:00:00.000Z""},{""@type"":""VideoObject"",""name"":""Trailer: Night Out"",""description"":""Gangs, dirty cops, a supernatural assassin: Everybody's gunning for Officer Ward. But he's got a magic wand -- and a city -- to protect."",""thumbnailUrl"":""https://occ-0-1009-2218.1.nflxso.net/dnm/api/v6/9pS1daC2n6UGc3dUogvWIPMR_OU/AAAABRaa9_9aSPRSjkrm81MphZ4HSRtJfNfbQ9TYmkDvGQIOpE0-9l2Q067lUPnf8iR7Pnz_h6A7dYTxjUJFthnPYxBMcLLPw9DananauRwvQ_1-SgNg.jpg?r=b3b"",""duration"":""PT33S"",""contentUrl"":""https://occ-0-1009-2218.1.nflxso.net/so/soa3/546/1230728546.mp4?v=1"",""uploadDate"":""2017-12-15T18:00:00.000Z""},{""@type"":""VideoObject"",""name"":""Trailer: Myth"""
https://www.netflix.com/title/269880,"""Bad Boys"""
