Code,Title,Title_to_merge,Rating
https://www.netflix.com/title/80175694,"""Mudbound""",mudbound,97
https://www.netflix.com/title/80245076,"""The Last Thing He Wanted""",the_last_thing_he_wanted,5
https://www.netflix.com/title/80049358,"""Steve Jobs""",steve_jobs,100
https://www.netflix.com/title/80041653,"""The Siege of Jadotville""",the_siege_of_jadotville,64
https://www.netflix.com/title/70202136,"""Hugo""",hugo,93
https://www.netflix.com/title/70307659,"""The Hundred-Foot Journey""",the_hundred_foot_journey,67
https://www.netflix.com/title/80049281,"""Secret in Their Eyes""",secret_in_their_eyes,90
https://www.netflix.com/title/70184051,"""One Day""",one_day,42
https://www.netflix.com/title/80039136,"""Immoral Tales""",immoral_tales,50
https://www.netflix.com/title/70209252,"""Killing Them Softly""",killing_them_softly,73
https://www.netflix.com/title/80184676,"""Juanita""",juanita,null
https://www.netflix.com/title/80147760,"""Carrie Pilby""",carrie_pilby,62
https://www.netflix.com/title/70075473,"""There Will Be Blood""",there_will_be_blood,91
https://www.netflix.com/title/80104068,"""Our Souls at Night""",our_souls_at_night,90
https://www.netflix.com/title/60000480,"""Mansfield Park""",mansfield_park,null
https://www.netflix.com/title/80192420,"""Half Girlfriend""",half_girlfriend,22
https://www.netflix.com/title/60022413,"""Eye for an Eye""",eye_for_an_eye,null
https://www.netflix.com/title/70212504,"""Big Miracle""",big_miracle,75
https://www.netflix.com/title/80017171,"""5 Flights Up""",5_flights_up,46
https://www.netflix.com/title/81034600,"""Shadow""",shadow,null
https://www.netflix.com/title/80058477,"""The Danish Girl""",the_danish_girl,67
https://www.netflix.com/title/80116741,"""My Life as a Zucchini""",my_life_as_a_zucchini,99
https://www.netflix.com/title/80188120,"""The Angel""",the_angel,75
https://www.netflix.com/title/80217121,"""The Breadwinner""",the_breadwinner,95
https://www.netflix.com/title/80038159,"""The Stanford Prison Experiment""",the_stanford_prison_experiment,84
https://www.netflix.com/title/80068327,"""War Machine""",war_machine,null
https://www.netflix.com/title/81044813,"""The Secret Life of Pets 2""",the_secret_life_of_pets_2,60
https://www.netflix.com/title/80239482,"""The Willoughbys""",the_willoughbys,89
https://www.netflix.com/title/81005150,"""The Half Of It""",the_half_of_it,96
https://www.netflix.com/title/81073593,"""The Angry Birds Movie 2""",the_angry_birds_movie_2,73
https://www.netflix.com/title/81002412,"""Tall Girl""",tall_girl,44
https://www.netflix.com/title/70021648,"""Charlie and the Chocolate Factory""",charlie_and_the_chocolate_factory,83
https://www.netflix.com/title/81109078,"""How High 2""",how_high_2,null
https://www.netflix.com/title/70021643,"""Fun with Dick & Jane""",fun_with_dick_and_jane,28
https://www.netflix.com/title/80143556,"""The Kissing Booth""",the_kissing_booth,17
https://www.netflix.com/title/70060010,"""Bee Movie""",bee_movie,50
https://www.netflix.com/title/80231419,"""Sextuplets""",sextuplets,14
https://www.netflix.com/title/70020525,"""Richie Rich""",richie_rich,24
https://www.netflix.com/title/70142824,"""Hop""",hop,null
https://www.netflix.com/title/70261364,"""A Haunted House""",a_haunted_house,9
https://www.netflix.com/title/60026155,"""What a Girl Wants""",what_a_girl_wants,35
https://www.netflix.com/title/70044883,"""Nacho Libre""",nacho_libre,39
https://www.netflix.com/title/70060003,"""The Heartbreak Kid""",the_heartbreak_kid,29
https://www.netflix.com/title/70215452,"""Mirror Mirror""",mirror_mirror,null
https://www.netflix.com/title/80039517,"""The Ridiculous 6""",the_ridiculous_6,null
https://www.netflix.com/title/80999781,"""Falling Inn Love""",falling_inn_love,65
https://www.netflix.com/title/60000870,"""Scary Movie""",scary_movie,53
https://www.netflix.com/title/60020949,"""Willy Wonka & the Chocolate Factory""",willy_wonka_and_the_chocolate_factory,91
https://www.netflix.com/title/81019888,"""The Perfect Date""",the_perfect_date,65
https://www.netflix.com/title/70043308,"""Open Season""",open_season,48
https://www.netflix.com/title/60000901,"""How the Grinch Stole Christmas""",how_the_grinch_stole_christmas,50
https://www.netflix.com/title/80209751,"""The Trap""",the_trap,null
https://www.netflix.com/title/81047512,"""Rich in Love""",rich_in_love,67
https://www.netflix.com/title/70028197,"""Chicken Little""",chicken_little,37
https://www.netflix.com/title/70100379,"""Yes Man""",yes_man,46
