Code,Netflix_Tag,Tags
https://www.netflix.com/title/80217733,"""International Action & Adventure""",abilities
https://www.netflix.com/title/80217733,"""International Action & Adventure""",souls
https://www.netflix.com/title/80217733,"""International Action & Adventure""",first
https://www.netflix.com/title/80217733,"""International Action & Adventure""",.
https://www.netflix.com/title/80217733,"""International Action & Adventure""",powers
https://www.netflix.com/title/80217733,"""International Action & Adventure""",back
https://www.netflix.com/title/80217733,"""International Action & Adventure""",.
https://www.netflix.com/title/80217733,"""International Action & Adventure""",high
https://www.netflix.com/title/80217733,"""International Action & Adventure""",schooler
https://www.netflix.com/title/80217733,"""International Action & Adventure""",ichigo
https://www.netflix.com/title/80217733,"""International Action & Adventure""",really
https://www.netflix.com/title/80217733,"""International Action & Adventure""",wants
https://www.netflix.com/title/80217733,"""International Action & Adventure""",reap
https://www.netflix.com/title/80217733,"""International Action & Adventure""",give
https://www.netflix.com/title/80217733,"""International Action & Adventure""",'
https://www.netflix.com/title/70082268,"""Action Sci-Fi & Fantasy""",new
https://www.netflix.com/title/70082268,"""Action Sci-Fi & Fantasy""",york
https://www.netflix.com/title/70082268,"""Action Sci-Fi & Fantasy""",city
https://www.netflix.com/title/70082268,"""Action Sci-Fi & Fantasy""",.
https://www.netflix.com/title/70082268,"""Action Sci-Fi & Fantasy""",epic
https://www.netflix.com/title/70082268,"""Action Sci-Fi & Fantasy""",proportions
https://www.netflix.com/title/70082268,"""Action Sci-Fi & Fantasy""",launches
https://www.netflix.com/title/70082268,"""Action Sci-Fi & Fantasy""",mysterious
https://www.netflix.com/title/70082268,"""Action Sci-Fi & Fantasy""",monster
https://www.netflix.com/title/70082268,"""Action Sci-Fi & Fantasy""",away
https://www.netflix.com/title/70082268,"""Action Sci-Fi & Fantasy""",party
https://www.netflix.com/title/70082268,"""Action Sci-Fi & Fantasy""",manhattan
https://www.netflix.com/title/70082268,"""Action Sci-Fi & Fantasy""",interrupted
https://www.netflix.com/title/70082268,"""Action Sci-Fi & Fantasy""",going
https://www.netflix.com/title/70082268,"""Action Sci-Fi & Fantasy""",attack
https://www.netflix.com/title/80189853,"""Crime Action & Adventure""",rescue
https://www.netflix.com/title/80189853,"""Crime Action & Adventure""",human
https://www.netflix.com/title/80189853,"""Crime Action & Adventure""",captives
https://www.netflix.com/title/80189853,"""Crime Action & Adventure""",.
https://www.netflix.com/title/80189853,"""Crime Action & Adventure""",suspended
https://www.netflix.com/title/80189853,"""Crime Action & Adventure""",l
https://www.netflix.com/title/80189853,"""Crime Action & Adventure""",.
https://www.netflix.com/title/80189853,"""Crime Action & Adventure""",.
https://www.netflix.com/title/80189853,"""Crime Action & Adventure""",cop
https://www.netflix.com/title/80189853,"""Crime Action & Adventure""",teams
https://www.netflix.com/title/80189853,"""Crime Action & Adventure""",extraterrestrial
https://www.netflix.com/title/80189853,"""Crime Action & Adventure""",invasion
https://www.netflix.com/title/80189853,"""Crime Action & Adventure""",wake
https://www.netflix.com/title/80189853,"""Crime Action & Adventure""",survivors
https://www.netflix.com/title/80189853,"""Crime Action & Adventure""",stop
https://www.netflix.com/title/80189853,"""Crime Action & Adventure""",onslaught
https://www.netflix.com/title/60031303,"""Action Sci-Fi & Fantasy""",unconscious
https://www.netflix.com/title/60031303,"""Action Sci-Fi & Fantasy""",neo
https://www.netflix.com/title/60031303,"""Action Sci-Fi & Fantasy""",trapped
https://www.netflix.com/title/60031303,"""Action Sci-Fi & Fantasy""",machine
https://www.netflix.com/title/60031303,"""Action Sci-Fi & Fantasy""",world
https://www.netflix.com/title/60031303,"""Action Sci-Fi & Fantasy""",.
https://www.netflix.com/title/60031303,"""Action Sci-Fi & Fantasy""",matrix
https://www.netflix.com/title/60031303,"""Action Sci-Fi & Fantasy""",trilogy
https://www.netflix.com/title/60031303,"""Action Sci-Fi & Fantasy""",finds
https://www.netflix.com/title/60031303,"""Action Sci-Fi & Fantasy""",subway
https://www.netflix.com/title/60031303,"""Action Sci-Fi & Fantasy""",station
https://www.netflix.com/title/60031303,"""Action Sci-Fi & Fantasy""",final
https://www.netflix.com/title/60031303,"""Action Sci-Fi & Fantasy""",installment
https://www.netflix.com/title/60031303,"""Action Sci-Fi & Fantasy""",matrix
https://www.netflix.com/title/60031303,"""Action Sci-Fi & Fantasy""",zone
https://www.netflix.com/title/81037697,"""Comedies""",mysterious
https://www.netflix.com/title/81037697,"""Comedies""",goons
https://www.netflix.com/title/81037697,"""Comedies""",chase
https://www.netflix.com/title/81037697,"""Comedies""",teenage
https://www.netflix.com/title/81037697,"""Comedies""",slacker
https://www.netflix.com/title/81037697,"""Comedies""",angelino
https://www.netflix.com/title/81037697,"""Comedies""",chaotic
https://www.netflix.com/title/81037697,"""Comedies""",dark
https://www.netflix.com/title/81037697,"""Comedies""",meat
https://www.netflix.com/title/81037697,"""Comedies""",city
https://www.netflix.com/title/81037697,"""Comedies""",uncovers
https://www.netflix.com/title/81037697,"""Comedies""",secret
https://www.netflix.com/title/81037697,"""Comedies""",powers
https://www.netflix.com/title/81037697,"""Comedies""",world
https://www.netflix.com/title/81037697,"""Comedies""",.
https://www.netflix.com/title/81037697,"""Comedies""",saving
https://www.netflix.com/title/81037697,"""Comedies""",key
https://www.netflix.com/title/81037697,"""Comedies""",could
https://www.netflix.com/title/80134431,"""Action Thrillers""",dark
https://www.netflix.com/title/80134431,"""Action Thrillers""",alternate
https://www.netflix.com/title/80134431,"""Action Thrillers""",reality
https://www.netflix.com/title/80134431,"""Action Thrillers""",.
https://www.netflix.com/title/80134431,"""Action Thrillers""",scientists
https://www.netflix.com/title/80134431,"""Action Thrillers""",test
https://www.netflix.com/title/80134431,"""Action Thrillers""",energy
https://www.netflix.com/title/80134431,"""Action Thrillers""",crisis
https://www.netflix.com/title/80134431,"""Action Thrillers""",war
https://www.netflix.com/title/80134431,"""Action Thrillers""",solve
https://www.netflix.com/title/80134431,"""Action Thrillers""",planet
https://www.netflix.com/title/80134431,"""Action Thrillers""",orbiting
https://www.netflix.com/title/80134431,"""Action Thrillers""",face
https://www.netflix.com/title/80134431,"""Action Thrillers""",end
https://www.netflix.com/title/80134431,"""Action Thrillers""",device
https://www.netflix.com/title/80134431,"""Action Thrillers""",brink
https://www.netflix.com/title/80232502,"""Alien Sci-Fi""",another
https://www.netflix.com/title/80232502,"""Alien Sci-Fi""",life
https://www.netflix.com/title/80232502,"""Alien Sci-Fi""",form
https://www.netflix.com/title/80232502,"""Alien Sci-Fi""",awaits
https://www.netflix.com/title/80232502,"""Alien Sci-Fi""",.
https://www.netflix.com/title/80232502,"""Alien Sci-Fi""",.
https://www.netflix.com/title/80232502,"""Alien Sci-Fi""",navy
https://www.netflix.com/title/80232502,"""Alien Sci-Fi""",seal
https://www.netflix.com/title/80232502,"""Alien Sci-Fi""",team
https://www.netflix.com/title/80232502,"""Alien Sci-Fi""",tackles
https://www.netflix.com/title/80232502,"""Alien Sci-Fi""",u
https://www.netflix.com/title/80232502,"""Alien Sci-Fi""",.
https://www.netflix.com/title/80232502,"""Alien Sci-Fi""",secret
https://www.netflix.com/title/80232502,"""Alien Sci-Fi""",mission
https://www.netflix.com/title/80232502,"""Alien Sci-Fi""",research
https://www.netflix.com/title/80232502,"""Alien Sci-Fi""",center
https://www.netflix.com/title/80232502,"""Alien Sci-Fi""",mysteriously
https://www.netflix.com/title/80232502,"""Alien Sci-Fi""",disappeared
https://www.netflix.com/title/80232502,"""Alien Sci-Fi""",top
https://www.netflix.com/title/80232502,"""Alien Sci-Fi""",scientists
https://www.netflix.com/title/60022645,"""Sci-Fi Adventure""",h
https://www.netflix.com/title/60022645,"""Sci-Fi Adventure""",.
https://www.netflix.com/title/60022645,"""Sci-Fi Adventure""",g
https://www.netflix.com/title/60022645,"""Sci-Fi Adventure""",.
https://www.netflix.com/title/60022645,"""Sci-Fi Adventure""",possible
https://www.netflix.com/title/60022645,"""Sci-Fi Adventure""",.
https://www.netflix.com/title/60022645,"""Sci-Fi Adventure""",wells
https://www.netflix.com/title/60022645,"""Sci-Fi Adventure""",classic
https://www.netflix.com/title/60022645,"""Sci-Fi Adventure""",time
https://www.netflix.com/title/60022645,"""Sci-Fi Adventure""",travel
https://www.netflix.com/title/60022645,"""Sci-Fi Adventure""",adventure
https://www.netflix.com/title/60022645,"""Sci-Fi Adventure""",follows
https://www.netflix.com/title/60022645,"""Sci-Fi Adventure""",scientist
https://www.netflix.com/title/60022645,"""Sci-Fi Adventure""",prove
https://www.netflix.com/title/60022645,"""Sci-Fi Adventure""",inventor
https://www.netflix.com/title/60022645,"""Sci-Fi Adventure""",doubters
https://www.netflix.com/title/60022645,"""Sci-Fi Adventure""",determined
https://www.netflix.com/title/60022645,"""Sci-Fi Adventure""",based
https://www.netflix.com/title/60022645,"""Sci-Fi Adventure""",'
https://www.netflix.com/title/81226439,"""Action Sci-Fi & Fantasy""",young
https://www.netflix.com/title/81226439,"""Action Sci-Fi & Fantasy""",farmer
https://www.netflix.com/title/81226439,"""Action Sci-Fi & Fantasy""",teams
https://www.netflix.com/title/81226439,"""Action Sci-Fi & Fantasy""",wielding
https://www.netflix.com/title/81226439,"""Action Sci-Fi & Fantasy""",mercenary
https://www.netflix.com/title/81226439,"""Action Sci-Fi & Fantasy""",vicious
https://www.netflix.com/title/81226439,"""Action Sci-Fi & Fantasy""",savages
